Product_itemcode	product_Name	Material_itemcode	Material_name
PFTS0030	50-04 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFT0152	36 Driver korpus Veral YTM	C0258	PC drobilka ko'cha
PFT0152	36 Driver korpus Veral YTM	C0259	PC drobilka ko'cha otxod
PFT0152	36 Driver korpus Veral YTM	C0041	Oq rang
PFTS0078	40-06 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0101	40-40 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0087	40-26 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0105	40-44 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0075	40-03 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0116	40-02 COFFEE Rom	C0058	palistrol otxod drobilka
PFTS0116	40-02 COFFEE Rom	C0064	palistrol
PFTS0054	50-42 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0077	40-05 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFT0149	24 Driver korpus Dusel YTM	C0041	Oq rang
PFT0149	24 Driver korpus Dusel YTM	C0259	PC drobilka ko'cha otxod
PFT0149	24 Driver korpus Dusel YTM	C0258	PC drobilka ko'cha
PFTS0240	50-12 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0026	50-46 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFT0185	Vnut 12 Ramka Platinum	C0017	rich abs
PFT0185	Vnut 12 Ramka Platinum	C0014	rish abs otxod
PFTS0080	40-09 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0053	50-41 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0068	50-68 Plafon korpus	PZ0105	PZ-Pet list 475-480
PFT0159	Tosh keramika 23 (1 talik roz)	PFE0215	Tosh keramika 23 (1 talik roz) presslash
PFTS0093	40-32 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0089	40-28 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFT0010	KRISHKA-100 Platinum	C0014	rish abs otxod
PFT0010	KRISHKA-100 Platinum	C0017	rich abs
PFTS0098	40-37 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0096	40-35 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0108	40-47 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0028	50-02 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0070	50-70 Plafon korpus	PZ0105	PZ-Pet list 475-480
PFTS0040	50-25 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0230	50-09 RED Rom	C0064	palistrol
PFTS0067	50-67 Plafon korpus	PZ0105	PZ-Pet list 475-480
PFT0043	PLASMASSA TEGI-100 Silver	C0014	rich abs otxod
PFT0043	PLASMASSA TEGI-100 Silver	C0017	rich abs
PFT0196	Nar 24 Tagi gold	C0014	rish abs otxod
PFT0196	Nar 24 Tagi gold	C0017	rich abs
PFTS0064	50-64 Plafon korpus	PZ0105	PZ-Pet list 475-480
PFTS0097	40-36 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0165	50-03 RED Rom	C0058	palistrol otxod drobilka
PFTS0165	50-03 RED Rom	C0064	palistrol
PFTS0099	40-38 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0048	50-33 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0069	50-69 Plafon korpus	PZ0105	PZ-Pet list 475-480
PFTS0230	50-09 RED Rom	C0058	palistrol otxod drobilka
PFTS0055	50-43 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0036	50-13 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0112	40-01 COFFEE Rom	C0058	palistrol otxod drobilka
PFTS0112	40-01 COFFEE Rom	C0064	palistrol
PFTS0237	50-67 coffee kichik	C0058	palistrol otxod drobilka
PFTS0237	50-67 coffee kichik	C0064	palistrol
PFT0191	Vnut 8 Ramka Platinum	C0014	rish abs otxod
PFT0191	Vnut 8 Ramka Platinum	C0017	rich abs
PFT0184	Vnut 12 Ramka Gold	C0017	rich abs
PFT0184	Vnut 12 Ramka Gold	C0014	rish abs otxod
PFTS0085	40-24 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0084	40-15 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFT0156	8-18 Driver korpus Veral YTM	C0041	Oq rang
PFT0156	8-18 Driver korpus Veral YTM	C0259	PC drobilka ko'cha otxod
PFT0156	8-18 Driver korpus Veral YTM	C0258	PC drobilka ko'cha
PFTS0193	50-60 BLUE Rom	C0064	palistrol
PFTS0193	50-60 BLUE Rom	C0058	palistrol otxod drobilka
PFT0151	36 Driver korpus Dusel YTM	C0258	PC drobilka ko'cha
PFT0151	36 Driver korpus Dusel YTM	C0259	PC drobilka ko'cha otxod
PFT0151	36 Driver korpus Dusel YTM	C0041	Oq rang
PFTS0074	40-02 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFT0008	KRISHKA-100 Gold	C0014	rish abs otxod
PFT0008	KRISHKA-100 Gold	C0017	rich abs
